"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Chinese elm or lacebark elm","Ulmus parvifolia","Phoenix","Arizona",7.18401,4.8,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chinese elm or lacebark elm","Ulmus parvifolia","Phoenix","Arizona",9.729337,4.6,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chinese elm or lacebark elm","Ulmus parvifolia","Phoenix","Arizona",3.3,3.56,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo brea","Cercidium floridum","Phoenix","Arizona",59.360003,9.1,"FALSE","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Paloverde.mexican palo verde","Cercidium floridum","Phoenix","Arizona",7.890501,3.18,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Shamel ash","Fraxinus uhdei","Phoenix","Arizona",19.3,7.6,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Shamel ash","Fraxinus uhdei","Phoenix","Arizona",32.9,8.5,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Shamel ash","Fraxinus uhdei","Phoenix","Arizona",14.8,6.44,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"(jagged leaf)","Fraxinus","Phoenix","Arizona",21.5,5.76,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Front 2","Fraxinus","Phoenix","Arizona",24.580683,4.33,"no_info","0 to 4.57 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",18.794946,7.4,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",24.703239,6.41,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",29.663277,3.79,"FALSE","0 to 4.57 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",22.735655,2.98,"FALSE","0 to 4.57 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Indian laurel fig","Ficus microcarpa","Phoenix","Arizona",35.575553,2.39,"FALSE","0 to 4.57 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",28.8,6.53,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",39.7,5.04,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",44.2,6.72,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",27.1,7.26,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Same as unknown front","Fraxinus","Phoenix","Arizona",24.6,5.22,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mexican blue palm","Brahea armata","Phoenix","Arizona",58.1,5.72,"FALSE","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",21.2,5.31,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",24.5,5.21,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",35.8,6.67,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",17,7.4,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",15.5,6.6,"no_info","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chilean mesquite","Prosopis chilensis","Phoenix","Arizona",40.5,7.8,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"China berry. white cedar","Melia azedarach","Phoenix","Arizona",8.5,4.7,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"China berry. white cedar","Melia azedarach","Phoenix","Arizona",6.9,4.9,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
